                       g_value (photons/atom/s)
Velocity (km/s)      7667.01 A           7701.08 A
    -29.2          1.368875e+02        6.909576e+01
    -29.1          1.368789e+02        6.908184e+01
    -29.0          1.368703e+02        6.906800e+01
    -28.9          1.368616e+02        6.905415e+01
    -28.8          1.368529e+02        6.904031e+01
    -28.7          1.368441e+02        6.902953e+01
    -28.6          1.368354e+02        6.901881e+01
    -28.5          1.368266e+02        6.900808e+01
    -28.4          1.368178e+02        6.899833e+01
    -28.3          1.368090e+02        6.899304e+01
    -28.2          1.368002e+02        6.898774e+01
    -28.1          1.367909e+02        6.898245e+01
    -28.0          1.367811e+02        6.897820e+01
    -27.9          1.367714e+02        6.897854e+01
    -27.8          1.367617e+02        6.897887e+01
    -27.7          1.367520e+02        6.897921e+01
    -27.6          1.367423e+02        6.898139e+01
    -27.5          1.367327e+02        6.898653e+01
    -27.4          1.367230e+02        6.899167e+01
    -27.3          1.367124e+02        6.899681e+01
    -27.2          1.367015e+02        6.900379e+01
    -27.1          1.366907e+02        6.901364e+01
    -27.0          1.366798e+02        6.902348e+01
    -26.9          1.366687e+02        6.903332e+01
    -26.8          1.366575e+02        6.904414e+01
    -26.7          1.366464e+02        6.905564e+01
    -26.6          1.366352e+02        6.906713e+01
    -26.5          1.366233e+02        6.907863e+01
    -26.4          1.366115e+02        6.909089e+01
    -26.3          1.365996e+02        6.910366e+01
    -26.2          1.365876e+02        6.911643e+01
    -26.1          1.365754e+02        6.912920e+01
    -26.0          1.365632e+02        6.914108e+01
    -25.9          1.365510e+02        6.915274e+01
    -25.8          1.365386e+02        6.916439e+01
    -25.7          1.365247e+02        6.917604e+01
    -25.6          1.365109e+02        6.918517e+01
    -25.5          1.364970e+02        6.919429e+01
    -25.4          1.364832e+02        6.920341e+01
    -25.3          1.364695e+02        6.921252e+01
    -25.2          1.364559e+02        6.921938e+01
    -25.1          1.364422e+02        6.922625e+01
    -25.0          1.364281e+02        6.923312e+01
    -24.9          1.364132e+02        6.923941e+01
    -24.8          1.363982e+02        6.924341e+01
    -24.7          1.363832e+02        6.924742e+01
    -24.6          1.363680e+02        6.925143e+01
    -24.5          1.363524e+02        6.925489e+01
    -24.4          1.363368e+02        6.925631e+01
    -24.3          1.363212e+02        6.925773e+01
    -24.2          1.363049e+02        6.925914e+01
    -24.1          1.362878e+02        6.925976e+01
    -24.0          1.362707e+02        6.925923e+01
    -23.9          1.362536e+02        6.925869e+01
    -23.8          1.362365e+02        6.925815e+01
    -23.7          1.362193e+02        6.925688e+01
    -23.6          1.362022e+02        6.925456e+01
    -23.5          1.361851e+02        6.925225e+01
    -23.4          1.361666e+02        6.924994e+01
    -23.3          1.361474e+02        6.924682e+01
    -23.2          1.361282e+02        6.924319e+01
    -23.1          1.361090e+02        6.923957e+01
    -23.0          1.360897e+02        6.923595e+01
    -22.9          1.360704e+02        6.923152e+01
    -22.8          1.360511e+02        6.922661e+01
    -22.7          1.360318e+02        6.922170e+01
    -22.6          1.360106e+02        6.921679e+01
    -22.5          1.359890e+02        6.921162e+01
    -22.4          1.359673e+02        6.920639e+01
    -22.3          1.359457e+02        6.920117e+01
