                       g_value (photons/atom/s)
Velocity (km/s)      4045.28 A           4048.35 A
    -18.0          2.609951e-01        1.339269e-01
    -17.9          2.612240e-01        1.338556e-01
    -17.8          2.615619e-01        1.337844e-01
    -17.7          2.619660e-01        1.337121e-01
    -17.6          2.623702e-01        1.336220e-01
    -17.5          2.627743e-01        1.335319e-01
    -17.4          2.631784e-01        1.334418e-01
    -17.3          2.635826e-01        1.333518e-01
    -17.2          2.639867e-01        1.332617e-01
    -17.1          2.644238e-01        1.331716e-01
    -17.0          2.649897e-01        1.330815e-01
    -16.9          2.655555e-01        1.329753e-01
    -16.8          2.661214e-01        1.328602e-01
    -16.7          2.666873e-01        1.327450e-01
    -16.6          2.672532e-01        1.326298e-01
    -16.5          2.678191e-01        1.325147e-01
    -16.4          2.683849e-01        1.323995e-01
    -16.3          2.690390e-01        1.322843e-01
    -16.2          2.697172e-01        1.321605e-01
    -16.1          2.703954e-01        1.320077e-01
    -16.0          2.710736e-01        1.318549e-01
    -15.9          2.717518e-01        1.317021e-01
    -15.8          2.724300e-01        1.315493e-01
    -15.7          2.731082e-01        1.313965e-01
    -15.6          2.737979e-01        1.312437e-01
    -15.5          2.745076e-01        1.310909e-01
    -15.4          2.752173e-01        1.309022e-01
    -15.3          2.759269e-01        1.307055e-01
    -15.2          2.766366e-01        1.305088e-01
    -15.1          2.773462e-01        1.303120e-01
    -15.0          2.780559e-01        1.301153e-01
    -14.9          2.787655e-01        1.299186e-01
    -14.8          2.794197e-01        1.297219e-01
    -14.7          2.800710e-01        1.295006e-01
    -14.6          2.807222e-01        1.292432e-01
    -14.5          2.813734e-01        1.289859e-01
    -14.4          2.820246e-01        1.287285e-01
    -14.3          2.826758e-01        1.284712e-01
    -14.2          2.833270e-01        1.282138e-01
    -14.1          2.839139e-01        1.279565e-01
    -14.0          2.844438e-01        1.276991e-01
    -13.9          2.849737e-01        1.273650e-01
    -13.8          2.855036e-01        1.270303e-01
    -13.7          2.860335e-01        1.266955e-01
    -13.6          2.865634e-01        1.263608e-01
    -13.5          2.870933e-01        1.260261e-01
    -13.4          2.876076e-01        1.256914e-01
    -13.3          2.879982e-01        1.253566e-01
    -13.2          2.883887e-01        1.249577e-01
    -13.1          2.887793e-01        1.245121e-01
    -13.0          2.891699e-01        1.240666e-01
    -12.9          2.895605e-01        1.236210e-01
    -12.8          2.899511e-01        1.231755e-01
    -12.7          2.903417e-01        1.227300e-01
    -12.6          2.906513e-01        1.222844e-01
    -12.5          2.909250e-01        1.218060e-01
    -12.4          2.911988e-01        1.211639e-01
    -12.3          2.914725e-01        1.205218e-01
    -12.2          2.917463e-01        1.198797e-01
    -12.1          2.920200e-01        1.192376e-01
    -12.0          2.922938e-01        1.185955e-01
    -11.9          2.925416e-01        1.179534e-01
    -11.8          2.927210e-01        1.173113e-01
    -11.7          2.929004e-01        1.164815e-01
    -11.6          2.930797e-01        1.155906e-01
    -11.5          2.932591e-01        1.146996e-01
    -11.4          2.934385e-01        1.138087e-01
    -11.3          2.936179e-01        1.129178e-01
    -11.2          2.937973e-01        1.120269e-01
    -11.1          2.939305e-01        1.111359e-01
    -11.0          2.940560e-01        1.101428e-01
    -10.9          2.941814e-01        1.089529e-01
    -10.8          2.943069e-01        1.077630e-01
    -10.7          2.944324e-01        1.065730e-01
    -10.6          2.945578e-01        1.053831e-01
    -10.5          2.946833e-01        1.041932e-01
    -10.4          2.947930e-01        1.030032e-01
    -10.3          2.948826e-01        1.018133e-01
    -10.2          2.949721e-01        1.004175e-01
    -10.1          2.950616e-01        9.900593e-02
    -10.0          2.951512e-01        9.759437e-02
     -9.9          2.952407e-01        9.618281e-02
     -9.8          2.953303e-01        9.477125e-02
     -9.7          2.954191e-01        9.335969e-02
     -9.6          2.954727e-01        9.194813e-02
     -9.5          2.955262e-01        9.052686e-02
     -9.4          2.955798e-01        8.909651e-02
     -9.3          2.956334e-01        8.766616e-02
     -9.2          2.956870e-01        8.623580e-02
     -9.1          2.957405e-01        8.480545e-02
     -9.0          2.957941e-01        8.337510e-02
     -8.9          2.958261e-01        8.194474e-02
     -8.8          2.958437e-01        8.054558e-02
     -8.7          2.958613e-01        7.941635e-02
     -8.6          2.958790e-01        7.828712e-02
     -8.5          2.958966e-01        7.715788e-02
     -8.4          2.959143e-01        7.602865e-02
     -8.3          2.959319e-01        7.489942e-02
     -8.2          2.959397e-01        7.377019e-02
     -8.1          2.959034e-01        7.264096e-02
     -8.0          2.958671e-01        7.193644e-02
     -7.9          2.958308e-01        7.142198e-02
     -7.8          2.957945e-01        7.090751e-02
     -7.7          2.957583e-01        7.039305e-02
     -7.6          2.957220e-01        6.987859e-02
     -7.5          2.956857e-01        6.936412e-02
     -7.4          2.955853e-01        6.884966e-02
     -7.3          2.954652e-01        6.854806e-02
     -7.2          2.953451e-01        6.879890e-02
     -7.1          2.952250e-01        6.904975e-02
     -7.0          2.951050e-01        6.930059e-02
     -6.9          2.949849e-01        6.955143e-02
     -6.8          2.948648e-01        6.980228e-02
     -6.7          2.946704e-01        7.005312e-02
     -6.6          2.944094e-01        7.030397e-02
     -6.5          2.941485e-01        7.114110e-02
     -6.4          2.938876e-01        7.206939e-02
     -6.3          2.936267e-01        7.299769e-02
     -6.2          2.933657e-01        7.392599e-02
     -6.1          2.931048e-01        7.485428e-02
     -6.0          2.928222e-01        7.578258e-02
     -5.9          2.923636e-01        7.671088e-02
     -5.8          2.919050e-01        7.782848e-02
     -5.7          2.914464e-01        7.917496e-02
     -5.6          2.909878e-01        8.052143e-02
     -5.5          2.905292e-01        8.186790e-02
     -5.4          2.900706e-01        8.321437e-02
     -5.3          2.896120e-01        8.456085e-02
     -5.2          2.889485e-01        8.590732e-02
     -5.1          2.881933e-01        8.725379e-02
     -5.0          2.874382e-01        8.860024e-02
     -4.9          2.866831e-01        8.994670e-02
     -4.8          2.859280e-01        9.129315e-02
     -4.7          2.851728e-01        9.263960e-02
     -4.6          2.844177e-01        9.398606e-02
     -4.5          2.835694e-01        9.533251e-02
     -4.4          2.824728e-01        9.667897e-02
     -4.3          2.813762e-01        9.787195e-02
     -4.2          2.802796e-01        9.897375e-02
     -4.1          2.791831e-01        1.000755e-01
     -4.0          2.780865e-01        1.011773e-01
     -3.9          2.769899e-01        1.022791e-01
     -3.8          2.758933e-01        1.033809e-01
     -3.7          2.745357e-01        1.044827e-01
     -3.6          2.731336e-01        1.055042e-01
     -3.5          2.717316e-01        1.062317e-01
     -3.4          2.703295e-01        1.069592e-01
     -3.3          2.689275e-01        1.076867e-01
     -3.2          2.675254e-01        1.084142e-01
     -3.1          2.661233e-01        1.091417e-01
     -3.0          2.646645e-01        1.098692e-01
     -2.9          2.631321e-01        1.105967e-01
     -2.8          2.615998e-01        1.110459e-01
     -2.7          2.600675e-01        1.114263e-01
     -2.6          2.585352e-01        1.118068e-01
     -2.5          2.570029e-01        1.121872e-01
     -2.4          2.554705e-01        1.125676e-01
     -2.3          2.539413e-01        1.129480e-01
     -2.2          2.525843e-01        1.133284e-01
     -2.1          2.512272e-01        1.136208e-01
     -2.0          2.498701e-01        1.137750e-01
     -1.9          2.485130e-01        1.139291e-01
     -1.8          2.471559e-01        1.140833e-01
     -1.7          2.457988e-01        1.142375e-01
     -1.6          2.444417e-01        1.143917e-01
     -1.5          2.433863e-01        1.145458e-01
     -1.4          2.425324e-01        1.146850e-01
     -1.3          2.416785e-01        1.147434e-01
     -1.2          2.408246e-01        1.148018e-01
     -1.1          2.399708e-01        1.148602e-01
     -1.0          2.391169e-01        1.149186e-01
     -0.9          2.382630e-01        1.149771e-01
     -0.8          2.375434e-01        1.150355e-01
     -0.7          2.374308e-01        1.150939e-01
     -0.6          2.373182e-01        1.151710e-01
     -0.5          2.372056e-01        1.152545e-01
     -0.4          2.370931e-01        1.153380e-01
     -0.3          2.369805e-01        1.154215e-01
     -0.2          2.368679e-01        1.155050e-01
     -0.1          2.367553e-01        1.155885e-01
      0.0          2.372185e-01        1.156720e-01
      0.1          2.378607e-01        1.157763e-01
      0.2          2.385028e-01        1.159225e-01
      0.3          2.391450e-01        1.160688e-01
      0.4          2.397872e-01        1.162150e-01
      0.5          2.404294e-01        1.163612e-01
      0.6          2.410715e-01        1.165075e-01
      0.7          2.418855e-01        1.166537e-01
      0.8          2.430263e-01        1.167999e-01
      0.9          2.441672e-01        1.169865e-01
      1.0          2.453080e-01        1.171766e-01
      1.1          2.464488e-01        1.173667e-01
      1.2          2.475897e-01        1.175569e-01
      1.3          2.487305e-01        1.177470e-01
      1.4          2.498713e-01        1.179371e-01
      1.5          2.511494e-01        1.181272e-01
      1.6          2.524385e-01        1.183121e-01
      1.7          2.537276e-01        1.184917e-01
      1.8          2.550166e-01        1.186714e-01
      1.9          2.563057e-01        1.188511e-01
      2.0          2.575948e-01        1.190308e-01
      2.1          2.588838e-01        1.192105e-01
      2.2          2.600543e-01        1.193901e-01
      2.3          2.611097e-01        1.195659e-01
      2.4          2.621651e-01        1.197038e-01
      2.5          2.632206e-01        1.198416e-01
      2.6          2.642760e-01        1.199795e-01
      2.7          2.653315e-01        1.201173e-01
      2.8          2.663869e-01        1.202552e-01
      2.9          2.674030e-01        1.203930e-01
      3.0          2.680182e-01        1.205309e-01
      3.1          2.686333e-01        1.206445e-01
      3.2          2.692485e-01        1.207468e-01
      3.3          2.698637e-01        1.208491e-01
      3.4          2.704789e-01        1.209515e-01
      3.5          2.710940e-01        1.210538e-01
      3.6          2.717092e-01        1.211561e-01
      3.7          2.719656e-01        1.212584e-01
      3.8          2.720462e-01        1.213579e-01
      3.9          2.721267e-01        1.214498e-01
      4.0          2.722072e-01        1.215416e-01
      4.1          2.722878e-01        1.216335e-01
      4.2          2.723683e-01        1.217253e-01
      4.3          2.724489e-01        1.218172e-01
      4.4          2.723818e-01        1.219091e-01
      4.5          2.718783e-01        1.220009e-01
      4.6          2.713749e-01        1.220999e-01
      4.7          2.708715e-01        1.222001e-01
      4.8          2.703680e-01        1.223003e-01
      4.9          2.698646e-01        1.224006e-01
      5.0          2.693611e-01        1.225008e-01
      5.1          2.688577e-01        1.226010e-01
      5.2          2.678369e-01        1.227012e-01
      5.3          2.667136e-01        1.228023e-01
      5.4          2.655902e-01        1.229046e-01
      5.5          2.644668e-01        1.230069e-01
      5.6          2.633434e-01        1.231092e-01
      5.7          2.622200e-01        1.232116e-01
      5.8          2.610966e-01        1.233139e-01
      5.9          2.596835e-01        1.234162e-01
      6.0          2.578638e-01        1.235180e-01
      6.1          2.560442e-01        1.236057e-01
      6.2          2.542245e-01        1.236934e-01
      6.3          2.524048e-01        1.237810e-01
      6.4          2.505851e-01        1.238687e-01
      6.5          2.487654e-01        1.239564e-01
      6.6          2.469457e-01        1.240440e-01
