                                 g_value (photons/atom/s)
Velocity (km/s)      1807.31 A           1820.34 A           1826.25 A
    -23.1          4.493484e-04        3.447671e-04        3.818996e-04
    -23.0          4.489843e-04        3.447906e-04        3.819205e-04
    -22.9          4.486201e-04        3.448141e-04        3.819415e-04
    -22.8          4.482560e-04        3.448376e-04        3.819625e-04
    -22.7          4.478918e-04        3.448611e-04        3.819834e-04
    -22.6          4.475276e-04        3.448847e-04        3.820044e-04
    -22.5          4.471635e-04        3.449082e-04        3.820254e-04
    -22.4          4.467993e-04        3.449317e-04        3.820463e-04
    -22.3          4.464351e-04        3.449552e-04        3.820673e-04
    -22.2          4.460710e-04        3.449787e-04        3.820883e-04
    -22.1          4.457068e-04        3.450022e-04        3.821092e-04
    -22.0          4.453427e-04        3.450258e-04        3.821302e-04
    -21.9          4.449785e-04        3.450493e-04        3.821512e-04
    -21.8          4.446143e-04        3.450728e-04        3.821721e-04
    -21.7          4.442502e-04        3.450963e-04        3.821931e-04
    -21.6          4.438860e-04        3.451198e-04        3.822140e-04
    -21.5          4.435194e-04        3.451433e-04        3.822350e-04
    -21.4          4.431507e-04        3.451669e-04        3.822560e-04
    -21.3          4.427821e-04        3.451904e-04        3.822769e-04
    -21.2          4.424134e-04        3.452139e-04        3.822979e-04
    -21.1          4.420448e-04        3.452375e-04        3.823189e-04
    -21.0          4.416761e-04        3.452610e-04        3.823398e-04
    -20.9          4.413075e-04        3.452845e-04        3.823608e-04
    -20.8          4.409388e-04        3.453081e-04        3.823818e-04
    -20.7          4.405702e-04        3.453316e-04        3.824027e-04
    -20.6          4.402015e-04        3.453551e-04        3.824237e-04
    -20.5          4.398329e-04        3.453787e-04        3.824447e-04
    -20.4          4.394642e-04        3.454022e-04        3.824656e-04
    -20.3          4.390956e-04        3.454257e-04        3.824866e-04
    -20.2          4.387269e-04        3.454493e-04        3.825075e-04
    -20.1          4.383582e-04        3.454728e-04        3.825285e-04
    -20.0          4.379896e-04        3.454963e-04        3.825495e-04
    -19.9          4.376216e-04        3.455199e-04        3.825704e-04
    -19.8          4.372575e-04        3.455434e-04        3.825914e-04
    -19.7          4.368933e-04        3.455669e-04        3.826124e-04
    -19.6          4.365292e-04        3.455904e-04        3.826336e-04
    -19.5          4.361651e-04        3.456139e-04        3.826548e-04
    -19.4          4.358009e-04        3.456375e-04        3.826760e-04
    -19.3          4.354368e-04        3.456610e-04        3.826973e-04
    -19.2          4.350726e-04        3.456845e-04        3.827185e-04
    -19.1          4.347085e-04        3.457080e-04        3.827397e-04
    -19.0          4.343444e-04        3.457315e-04        3.827609e-04
    -18.9          4.339802e-04        3.457550e-04        3.827822e-04
    -18.8          4.336161e-04        3.457786e-04        3.828034e-04
    -18.7          4.332519e-04        3.458021e-04        3.828246e-04
    -18.6          4.328878e-04        3.458256e-04        3.828459e-04
    -18.5          4.325237e-04        3.458491e-04        3.828671e-04
    -18.4          4.321595e-04        3.458726e-04        3.828883e-04
    -18.3          4.317954e-04        3.458961e-04        3.829095e-04
    -18.2          4.314312e-04        3.459196e-04        3.829308e-04
    -18.1          4.310671e-04        3.459432e-04        3.829520e-04
    -18.0          4.307030e-04        3.459667e-04        3.829731e-04
    -17.9          4.303389e-04        3.459902e-04        3.829940e-04
    -17.8          4.299747e-04        3.460137e-04        3.830150e-04
    -17.7          4.296106e-04        3.460373e-04        3.830359e-04
    -17.6          4.292465e-04        3.460608e-04        3.830569e-04
    -17.5          4.288823e-04        3.460843e-04        3.830779e-04
    -17.4          4.285182e-04        3.461078e-04        3.830988e-04
    -17.3          4.281541e-04        3.461313e-04        3.831198e-04
    -17.2          4.277899e-04        3.461549e-04        3.831408e-04
    -17.1          4.274258e-04        3.461784e-04        3.831617e-04
    -17.0          4.270617e-04        3.462019e-04        3.831827e-04
    -16.9          4.266976e-04        3.462254e-04        3.832036e-04
    -16.8          4.263334e-04        3.462490e-04        3.832246e-04
    -16.7          4.259693e-04        3.462725e-04        3.832456e-04
    -16.6          4.256052e-04        3.462960e-04        3.832665e-04
    -16.5          4.252411e-04        3.463195e-04        3.832875e-04
    -16.4          4.248769e-04        3.463432e-04        3.833085e-04
    -16.3          4.245128e-04        3.463670e-04        3.833294e-04
    -16.2          4.241487e-04        3.463908e-04        3.833504e-04
    -16.1          4.237846e-04        3.464146e-04        3.833713e-04
    -16.0          4.234204e-04        3.464385e-04        3.833923e-04
    -15.9          4.230563e-04        3.464623e-04        3.834132e-04
    -15.8          4.226922e-04        3.464861e-04        3.834342e-04
    -15.7          4.223281e-04        3.465099e-04        3.834551e-04
    -15.6          4.219640e-04        3.465337e-04        3.834761e-04
    -15.5          4.215998e-04        3.465575e-04        3.834970e-04
    -15.4          4.212357e-04        3.465813e-04        3.835180e-04
    -15.3          4.208716e-04        3.466051e-04        3.835389e-04
    -15.2          4.205075e-04        3.466289e-04        3.835599e-04
    -15.1          4.201434e-04        3.466527e-04        3.835808e-04
    -15.0          4.197792e-04        3.466765e-04        3.836018e-04
    -14.9          4.194151e-04        3.467004e-04        3.836227e-04
    -14.8          4.190510e-04        3.467241e-04        3.836437e-04
    -14.7          4.186869e-04        3.467476e-04        3.836646e-04
    -14.6          4.183228e-04        3.467711e-04        3.836856e-04
    -14.5          4.179587e-04        3.467947e-04        3.837065e-04
    -14.4          4.175946e-04        3.468182e-04        3.837275e-04
    -14.3          4.172305e-04        3.468417e-04        3.837485e-04
    -14.2          4.168664e-04        3.468653e-04        3.837694e-04
    -14.1          4.165023e-04        3.468888e-04        3.837904e-04
    -14.0          4.161382e-04        3.469123e-04        3.838114e-04
    -13.9          4.157741e-04        3.469358e-04        3.838323e-04
    -13.8          4.154100e-04        3.469594e-04        3.838533e-04
    -13.7          4.150459e-04        3.469829e-04        3.838742e-04
    -13.6          4.146818e-04        3.470064e-04        3.838952e-04
    -13.5          4.143177e-04        3.470300e-04        3.839162e-04
    -13.4          4.139536e-04        3.470535e-04        3.839371e-04
    -13.3          4.135894e-04        3.470770e-04        3.839581e-04
    -13.2          4.132254e-04        3.471005e-04        3.839791e-04
    -13.1          4.128613e-04        3.471241e-04        3.840000e-04
    -13.0          4.124972e-04        3.471476e-04        3.840210e-04
    -12.9          4.121331e-04        3.471711e-04        3.840419e-04
    -12.8          4.117690e-04        3.471946e-04        3.840629e-04
    -12.7          4.114049e-04        3.472181e-04        3.840839e-04
    -12.6          4.110408e-04        3.472416e-04        3.841048e-04
    -12.5          4.106767e-04        3.472651e-04        3.841258e-04
    -12.4          4.103126e-04        3.472887e-04        3.841467e-04
    -12.3          4.099485e-04        3.473122e-04        3.841677e-04
    -12.2          4.095844e-04        3.473357e-04        3.841887e-04
    -12.1          4.092203e-04        3.473592e-04        3.842096e-04
    -12.0          4.088562e-04        3.473827e-04        3.842306e-04
    -11.9          4.084921e-04        3.474062e-04        3.842515e-04
    -11.8          4.081280e-04        3.474297e-04        3.842725e-04
    -11.7          4.077639e-04        3.474533e-04        3.842935e-04
    -11.6          4.074158e-04        3.474768e-04        3.843144e-04
    -11.5          4.071793e-04        3.475003e-04        3.843354e-04
    -11.4          4.069428e-04        3.475238e-04        3.843563e-04
    -11.3          4.067064e-04        3.475473e-04        3.843773e-04
    -11.2          4.064699e-04        3.475708e-04        3.843983e-04
    -11.1          4.062334e-04        3.475943e-04        3.844192e-04
    -11.0          4.059969e-04        3.476178e-04        3.844402e-04
    -10.9          4.057604e-04        3.476414e-04        3.844612e-04
    -10.8          4.055239e-04        3.476649e-04        3.844821e-04
    -10.7          4.052875e-04        3.476884e-04        3.845031e-04
    -10.6          4.050510e-04        3.477119e-04        3.845241e-04
    -10.5          4.048145e-04        3.477354e-04        3.845450e-04
    -10.4          4.045780e-04        3.477589e-04        3.845660e-04
    -10.3          4.043415e-04        3.477824e-04        3.845869e-04
    -10.2          4.041050e-04        3.478060e-04        3.846079e-04
    -10.1          4.038685e-04        3.478295e-04        3.846289e-04
    -10.0          4.036321e-04        3.478530e-04        3.846498e-04
     -9.9          4.034613e-04        3.478765e-04        3.846708e-04
     -9.8          4.033508e-04        3.479000e-04        3.846918e-04
     -9.7          4.032404e-04        3.479235e-04        3.847127e-04
     -9.6          4.031300e-04        3.479470e-04        3.847336e-04
     -9.5          4.030196e-04        3.479706e-04        3.847546e-04
     -9.4          4.029091e-04        3.479941e-04        3.847755e-04
     -9.3          4.027987e-04        3.480176e-04        3.847965e-04
     -9.2          4.026883e-04        3.480411e-04        3.848174e-04
     -9.1          4.025779e-04        3.480646e-04        3.848384e-04
     -9.0          4.024674e-04        3.480881e-04        3.848593e-04
     -8.9          4.023570e-04        3.481117e-04        3.848802e-04
     -8.8          4.022466e-04        3.481352e-04        3.849012e-04
     -8.7          4.021362e-04        3.481587e-04        3.849221e-04
     -8.6          4.020258e-04        3.481822e-04        3.849431e-04
     -8.5          4.019153e-04        3.482057e-04        3.849640e-04
     -8.4          4.018049e-04        3.482293e-04        3.849850e-04
     -8.3          4.016945e-04        3.482528e-04        3.850059e-04
