                       g_value (photons/atom/s)
Velocity (km/s)      5891.58 A           5897.56 A
    -19.8          5.899319e+01        3.477678e+01
    -19.7          5.881797e+01        3.471320e+01
    -19.6          5.864275e+01        3.464963e+01
    -19.5          5.846752e+01        3.458606e+01
    -19.4          5.829230e+01        3.452248e+01
    -19.3          5.811212e+01        3.445831e+01
    -19.2          5.792262e+01        3.439250e+01
    -19.1          5.773313e+01        3.432669e+01
    -19.0          5.754363e+01        3.426088e+01
    -18.9          5.735414e+01        3.419506e+01
    -18.8          5.716872e+01        3.412874e+01
    -18.7          5.699000e+01        3.405412e+01
    -18.6          5.681128e+01        3.397949e+01
    -18.5          5.663256e+01        3.390486e+01
    -18.4          5.645384e+01        3.383024e+01
    -18.3          5.627339e+01        3.375562e+01
    -18.2          5.608389e+01        3.368104e+01
    -18.1          5.589439e+01        3.360646e+01
    -18.0          5.570489e+01        3.353188e+01
    -17.9          5.551539e+01        3.345730e+01
    -17.8          5.532628e+01        3.338272e+01
    -17.7          5.513880e+01        3.330080e+01
    -17.6          5.495132e+01        3.321788e+01
    -17.5          5.476384e+01        3.313497e+01
    -17.4          5.457636e+01        3.305205e+01
    -17.3          5.438888e+01        3.296914e+01
    -17.2          5.418870e+01        3.288582e+01
    -17.1          5.398818e+01        3.280246e+01
    -17.0          5.378766e+01        3.271911e+01
    -16.9          5.358713e+01        3.263576e+01
    -16.8          5.338665e+01        3.255240e+01
    -16.7          5.319742e+01        3.246158e+01
    -16.6          5.300818e+01        3.236761e+01
    -16.5          5.281895e+01        3.227365e+01
    -16.4          5.262971e+01        3.217968e+01
    -16.3          5.244047e+01        3.208572e+01
    -16.2          5.224525e+01        3.199311e+01
    -16.1          5.204839e+01        3.190099e+01
    -16.0          5.185154e+01        3.180886e+01
    -15.9          5.165468e+01        3.171674e+01
    -15.8          5.145783e+01        3.162461e+01
    -15.7          5.126291e+01        3.152618e+01
    -15.6          5.106843e+01        3.142208e+01
    -15.5          5.087395e+01        3.131799e+01
    -15.4          5.067946e+01        3.121389e+01
    -15.3          5.048498e+01        3.110980e+01
    -15.2          5.028578e+01        3.100701e+01
    -15.1          5.008341e+01        3.090524e+01
    -15.0          4.988105e+01        3.080347e+01
    -14.9          4.967868e+01        3.070170e+01
    -14.8          4.947631e+01        3.059994e+01
    -14.7          4.927560e+01        3.049380e+01
    -14.6          4.907586e+01        3.037957e+01
    -14.5          4.887611e+01        3.026534e+01
    -14.4          4.867637e+01        3.015111e+01
    -14.3          4.847663e+01        3.003688e+01
    -14.2          4.826823e+01        2.992306e+01
    -14.1          4.804746e+01        2.980989e+01
    -14.0          4.782670e+01        2.969672e+01
    -13.9          4.760594e+01        2.958354e+01
    -13.8          4.738517e+01        2.947037e+01
    -13.7          4.716983e+01        2.935526e+01
    -13.6          4.696133e+01        2.923090e+01
    -13.5          4.675283e+01        2.910655e+01
    -13.4          4.654433e+01        2.898219e+01
    -13.3          4.633584e+01        2.885783e+01
    -13.2          4.612334e+01        2.873417e+01
