                                 g_value (photons/atom/s)
Velocity (km/s)      4031.90 A           4034.21 A           4035.63 A
    -29.3          2.463290e+00        1.982805e+00        1.091102e+00
    -29.2          2.455260e+00        1.982864e+00        1.089178e+00
    -29.1          2.447230e+00        1.982923e+00        1.087255e+00
    -29.0          2.438920e+00        1.982981e+00        1.085332e+00
    -28.9          2.427911e+00        1.982714e+00        1.084039e+00
    -28.8          2.416902e+00        1.982408e+00        1.082970e+00
    -28.7          2.405893e+00        1.982101e+00        1.081901e+00
    -28.6          2.394885e+00        1.981795e+00        1.080832e+00
    -28.5          2.383876e+00        1.981489e+00        1.079763e+00
    -28.4          2.372867e+00        1.981182e+00        1.078694e+00
    -28.3          2.361858e+00        1.980876e+00        1.077625e+00
    -28.2          2.350688e+00        1.980487e+00        1.076814e+00
    -28.1          2.339431e+00        1.979998e+00        1.076599e+00
    -28.0          2.328174e+00        1.979510e+00        1.076385e+00
    -27.9          2.316917e+00        1.979021e+00        1.076170e+00
    -27.8          2.305660e+00        1.978532e+00        1.075955e+00
    -27.7          2.294404e+00        1.978044e+00        1.075740e+00
    -27.6          2.283147e+00        1.977555e+00        1.075525e+00
    -27.5          2.272406e+00        1.977066e+00        1.075311e+00
    -27.4          2.263632e+00        1.976547e+00        1.075920e+00
    -27.3          2.254858e+00        1.976028e+00        1.076657e+00
    -27.2          2.246084e+00        1.975509e+00        1.077393e+00
    -27.1          2.237310e+00        1.974990e+00        1.078130e+00
    -27.0          2.228536e+00        1.974471e+00        1.078866e+00
    -26.9          2.219761e+00        1.973952e+00        1.079602e+00
    -26.8          2.210987e+00        1.973433e+00        1.080339e+00
    -26.7          2.205379e+00        1.972914e+00        1.080983e+00
    -26.6          2.200742e+00        1.972395e+00        1.081506e+00
    -26.5          2.196105e+00        1.971875e+00        1.082029e+00
    -26.4          2.191469e+00        1.971356e+00        1.082552e+00
    -26.3          2.186832e+00        1.970837e+00        1.083075e+00
    -26.2          2.182196e+00        1.970318e+00        1.083598e+00
    -26.1          2.177559e+00        1.969799e+00        1.084121e+00
    -26.0          2.174469e+00        1.969242e+00        1.084644e+00
    -25.9          2.174632e+00        1.968450e+00        1.085785e+00
    -25.8          2.174795e+00        1.967657e+00        1.086929e+00
    -25.7          2.174958e+00        1.966864e+00        1.088074e+00
    -25.6          2.175121e+00        1.966072e+00        1.089218e+00
    -25.5          2.175284e+00        1.965279e+00        1.090362e+00
    -25.4          2.175447e+00        1.964487e+00        1.091506e+00
    -25.3          2.175610e+00        1.963694e+00        1.092650e+00
    -25.2          2.179556e+00        1.962668e+00        1.094109e+00
    -25.1          2.184021e+00        1.961541e+00        1.095816e+00
    -25.0          2.188487e+00        1.960414e+00        1.097523e+00
    -24.9          2.192953e+00        1.959287e+00        1.099230e+00
    -24.8          2.197418e+00        1.958161e+00        1.100937e+00
    -24.7          2.201884e+00        1.957034e+00        1.102645e+00
    -24.6          2.206350e+00        1.955907e+00        1.104352e+00
    -24.5          2.212025e+00        1.954701e+00        1.106090e+00
    -24.4          2.219262e+00        1.953270e+00        1.108049e+00
    -24.3          2.226500e+00        1.951839e+00        1.110009e+00
    -24.2          2.233738e+00        1.950408e+00        1.111968e+00
    -24.1          2.240975e+00        1.948977e+00        1.113928e+00
    -24.0          2.248213e+00        1.947546e+00        1.115887e+00
    -23.9          2.255451e+00        1.946115e+00        1.117847e+00
    -23.8          2.262688e+00        1.944685e+00        1.119806e+00
    -23.7          2.270830e+00        1.942979e+00        1.121593e+00
    -23.6          2.278977e+00        1.941214e+00        1.123300e+00
    -23.5          2.287125e+00        1.939449e+00        1.125007e+00
    -23.4          2.295273e+00        1.937684e+00        1.126714e+00
    -23.3          2.303420e+00        1.935919e+00        1.128421e+00
    -23.2          2.311568e+00        1.934154e+00        1.130128e+00
    -23.1          2.319716e+00        1.932389e+00        1.131836e+00
    -23.0          2.327590e+00        1.930496e+00        1.133383e+00
    -22.9          2.335241e+00        1.928396e+00        1.134449e+00
    -22.8          2.342893e+00        1.926297e+00        1.135515e+00
    -22.7          2.350544e+00        1.924197e+00        1.136582e+00
    -22.6          2.358195e+00        1.922098e+00        1.137648e+00
    -22.5          2.365846e+00        1.919998e+00        1.138714e+00
    -22.4          2.373497e+00        1.917899e+00        1.139781e+00
    -22.3          2.380971e+00        1.915799e+00        1.140847e+00
    -22.2          2.386967e+00        1.913413e+00        1.141218e+00
    -22.1          2.392963e+00        1.911009e+00        1.141430e+00
    -22.0          2.398959e+00        1.908606e+00        1.141643e+00
    -21.9          2.404955e+00        1.906203e+00        1.141855e+00
    -21.8          2.410951e+00        1.903799e+00        1.142067e+00
    -21.7          2.416948e+00        1.901396e+00        1.142279e+00
    -21.6          2.422944e+00        1.898992e+00        1.142492e+00
    -21.5          2.427428e+00        1.896343e+00        1.142366e+00
    -21.4          2.431148e+00        1.893454e+00        1.141685e+00
    -21.3          2.434869e+00        1.890564e+00        1.141005e+00
    -21.2          2.438589e+00        1.887675e+00        1.140324e+00
    -21.1          2.442310e+00        1.884785e+00        1.139643e+00
    -21.0          2.446030e+00        1.881896e+00        1.138963e+00
    -20.9          2.449750e+00        1.879006e+00        1.138282e+00
    -20.8          2.452931e+00        1.876058e+00        1.137601e+00
    -20.7          2.454210e+00        1.872287e+00        1.136225e+00
    -20.6          2.455490e+00        1.868516e+00        1.134807e+00
    -20.5          2.456770e+00        1.864745e+00        1.133388e+00
    -20.4          2.458049e+00        1.860974e+00        1.131970e+00
    -20.3          2.459329e+00        1.857203e+00        1.130551e+00
    -20.2          2.460609e+00        1.853432e+00        1.129133e+00
    -20.1          2.461889e+00        1.849661e+00        1.127714e+00
    -20.0          2.461429e+00        1.844974e+00        1.126148e+00
    -19.9          2.460474e+00        1.839744e+00        1.124439e+00
    -19.8          2.459520e+00        1.834515e+00        1.122729e+00
    -19.7          2.458565e+00        1.829285e+00        1.121019e+00
    -19.6          2.457611e+00        1.824055e+00        1.119310e+00
    -19.5          2.456656e+00        1.818825e+00        1.117600e+00
    -19.4          2.455702e+00        1.813595e+00        1.115890e+00
    -19.3          2.454081e+00        1.808015e+00        1.114189e+00
    -19.2          2.451141e+00        1.800932e+00        1.112596e+00
    -19.1          2.448201e+00        1.793848e+00        1.111002e+00
    -19.0          2.445260e+00        1.786765e+00        1.109409e+00
    -18.9          2.442320e+00        1.779681e+00        1.107816e+00
    -18.8          2.439380e+00        1.772597e+00        1.106223e+00
    -18.7          2.436440e+00        1.765514e+00        1.104629e+00
    -18.6          2.433499e+00        1.758430e+00        1.103036e+00
    -18.5          2.428787e+00        1.749773e+00        1.101695e+00
    -18.4          2.423861e+00        1.740593e+00        1.100500e+00
    -18.3          2.418935e+00        1.731412e+00        1.099305e+00
