taa,sslon
2.394703632223501,3.8669974047046436
2.404639265028771,3.8764681493599578
2.414542811826037,3.885970966935719
2.424414778321239,3.895505352862279
2.4342556661499635,3.905070806628298
2.4440659735467505,3.9146668323482263
2.4538461928876933,3.9242929362647487
2.4635968144969396,3.933948630378765
2.4733183241866064,3.943633429951915
2.4830112039320387,3.9533468540703978
2.4926759319217973,3.963088425597818
2.5023129826071715,3.9728576711234385
2.5119228267524396,3.982654120913461
2.5215059314861152,3.9924773088614813
2.5310627603514053,4.002326772435171
2.540593773358637,4.012202052627664
2.550099427037008,4.022102693903795
2.5595801744868316,4.032028244149378
2.5690364654324127,4.041978254618437
2.5784687462746394,4.051952279881223
2.587877460144295,4.061949877770177
2.597263046955086,4.0719706093278365
2.6066259434573626,4.0820140387543855
